*** SPRNt Results. Netlist: "m9.spt" Epoch: "1970-01-01T00:00:00Z" Reqested Tstop: 1 hr 40 min
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  30.00 3.000000e+00 9.360437e+01 1.777354e+01 7.177735e+02
2  30.00 2.555765e+00 1.188958e+02 1.445288e+01 7.177729e+02
3  30.00 2.111956e+00 5.403494e+01 1.113215e+01 7.177722e+02
4  30.00 1.807395e+00 3.831634e+01 7.810941e+00 7.177710e+02
5  30.00 1.515037e+00 1.455880e+01 4.487950e+00 7.177680e+02
6  30.00 1.403941e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  31.00 3.100000e+00 9.364315e+01 1.778005e+01 7.177801e+02
2  31.00 2.635786e+00 1.189963e+02 1.445939e+01 7.177794e+02
3  31.00 2.172020e+00 5.407358e+01 1.113864e+01 7.177787e+02
4  31.00 1.853741e+00 3.837318e+01 7.817390e+00 7.177774e+02
5  31.00 1.548088e+00 1.459365e+01 4.494297e+00 7.177743e+02
6  31.00 1.431910e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  32.00 3.200000e+00 9.368354e+01 1.778683e+01 7.177868e+02
2  32.00 2.716244e+00 1.191010e+02 1.446616e+01 7.177862e+02
3  32.00 2.232917e+00 5.411384e+01 1.114540e+01 7.177854e+02
4  32.00 1.901021e+00 3.843249e+01 7.824113e+00 7.177841e+02
5  32.00 1.582003e+00 1.463005e+01 4.500919e+00 7.177809e+02
6  32.00 1.460664e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  33.00 3.300000e+00 9.372552e+01 1.779388e+01 7.177939e+02
2  33.00 2.796994e+00 1.192100e+02 1.447320e+01 7.177932e+02
3  33.00 2.294386e+00 5.415571e+01 1.115242e+01 7.177924e+02
4  33.00 1.949009e+00 3.849423e+01 7.831108e+00 7.177911e+02
5  33.00 1.616683e+00 1.466800e+01 4.507813e+00 7.177878e+02
6  33.00 1.490182e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  34.00 3.400000e+00 9.376908e+01 1.780119e+01 7.178012e+02
2  34.00 2.877923e+00 1.193230e+02 1.448050e+01 7.178005e+02
3  34.00 2.356220e+00 5.419916e+01 1.115972e+01 7.177997e+02
4  34.00 1.997516e+00 3.855840e+01 7.838371e+00 7.177984e+02
5  34.00 1.652030e+00 1.470749e+01 4.514977e+00 7.177950e+02
6  34.00 1.520422e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  35.00 3.500000e+00 9.381421e+01 1.780876e+01 7.178088e+02
2  35.00 2.958976e+00 1.194402e+02 1.448807e+01 7.178081e+02
3  35.00 2.418320e+00 5.424417e+01 1.116727e+01 7.178073e+02
4  35.00 2.046442e+00 3.862495e+01 7.845897e+00 7.178059e+02
5  35.00 1.687972e+00 1.474848e+01 4.522405e+00 7.178024e+02
6  35.00 1.551333e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  36.00 3.600000e+00 9.386089e+01 1.781660e+01 7.178166e+02
2  36.00 3.040150e+00 1.195615e+02 1.449590e+01 7.178159e+02
3  36.00 2.480673e+00 5.429074e+01 1.117509e+01 7.178151e+02
4  36.00 2.095760e+00 3.869385e+01 7.853683e+00 7.178137e+02
5  36.00 1.724466e+00 1.479096e+01 4.530092e+00 7.178101e+02
6  36.00 1.582868e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  37.00 3.700000e+00 9.390910e+01 1.782469e+01 7.178247e+02
2  37.00 3.121462e+00 1.196868e+02 1.450399e+01 7.178240e+02
3  37.00 2.543311e+00 5.433884e+01 1.118316e+01 7.178232e+02
4  37.00 2.145486e+00 3.876510e+01 7.861727e+00 7.178217e+02
5  37.00 1.761492e+00 1.483491e+01 4.538034e+00 7.178181e+02
6  37.00 1.614985e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  38.00 3.800000e+00 9.395885e+01 1.783304e+01 7.178330e+02
2  38.00 3.202934e+00 1.198162e+02 1.451233e+01 7.178323e+02
3  38.00 2.606270e+00 5.438846e+01 1.119149e+01 7.178315e+02
4  38.00 2.195643e+00 3.883867e+01 7.870024e+00 7.178300e+02
5  38.00 1.799038e+00 1.488032e+01 4.546229e+00 7.178263e+02
6  38.00 1.647653e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  39.00 3.900000e+00 9.401010e+01 1.784164e+01 7.178416e+02
2  39.00 3.284577e+00 1.199496e+02 1.452093e+01 7.178409e+02
3  39.00 2.669568e+00 5.443959e+01 1.120007e+01 7.178401e+02
4  39.00 2.246239e+00 3.891454e+01 7.878574e+00 7.178386e+02
5  39.00 1.837091e+00 1.492720e+01 4.554673e+00 7.178347e+02
6  39.00 1.680847e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  40.00 4.000000e+00 9.406284e+01 1.785049e+01 7.178505e+02
2  40.00 3.366390e+00 1.200869e+02 1.452977e+01 7.178498e+02
3  40.00 2.733201e+00 5.449220e+01 1.120890e+01 7.178489e+02
4  40.00 2.297261e+00 3.899270e+01 7.887373e+00 7.178474e+02
5  40.00 1.875631e+00 1.497552e+01 4.563366e+00 7.178434e+02
6  40.00 1.714546e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  41.00 4.200000e+00 9.412326e+01 1.786063e+01 7.178606e+02
2  41.00 3.498875e+00 1.202368e+02 1.453942e+01 7.178594e+02
3  41.00 2.812916e+00 5.454807e+01 1.121828e+01 7.178583e+02
4  41.00 2.354533e+00 3.907435e+01 7.896556e+00 7.178566e+02
5  41.00 1.915561e+00 1.502556e+01 4.572353e+00 7.178524e+02
6  41.00 1.748763e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  42.00 4.400000e+00 9.418548e+01 1.787108e+01 7.178711e+02
2  42.00 3.656135e+00 1.203978e+02 1.454978e+01 7.178698e+02
3  42.00 2.918413e+00 5.460845e+01 1.122841e+01 7.178684e+02
4  42.00 2.426277e+00 3.916161e+01 7.906358e+00 7.178664e+02
5  42.00 1.959619e+00 1.507830e+01 4.581810e+00 7.178618e+02
6  42.00 1.783817e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  43.00 4.600000e+00 9.425056e+01 1.788200e+01 7.178820e+02
2  43.00 3.818174e+00 1.205672e+02 1.456067e+01 7.178807e+02
3  43.00 3.038966e+00 5.467275e+01 1.123920e+01 7.178792e+02
4  43.00 2.511739e+00 3.925548e+01 7.916892e+00 7.178769e+02
5  43.00 2.009702e+00 1.513504e+01 4.591966e+00 7.178720e+02
6  43.00 1.820572e+00 1.500001e+00 1.000001e+00 7.176000e+02
*** id time(min) flow(m3/s) wet_a(m2) depth(m) surf_elev(m)
1  44.00 4.800000e+00 9.431865e+01 1.789343e+01 7.178934e+02
2  44.00 3.981005e+00 1.207448e+02 1.457208e+01 7.178921e+02
3  44.00 3.163245e+00 5.474046e+01 1.125057e+01 7.178906e+02
4  44.00 2.603238e+00 3.935577e+01 7.928132e+00 7.178882e+02
5  44.00 2.064394e+00 1.519640e+01 4.602929e+00 7.178830e+02
6  44.00 1.859851e+00 1.500001e+00 1.000001e+00 7.176000e+02
